Name,RetailPrice,DealerCost,EngineSize,Cyl,HP,CityMPG,HwyMPG,Weight,WheelBase,Len,Width,Id
Chevrolet Corvette 2dr,44535,39068,5.7,8,350,18,25,3246,105,180,74,69
Chevrolet Corvette convertible 2dr,51535,45193,5.7,8,350,18,25,3248,105,180,74,70
Chevrolet Impala 4dr,21900,20095,3.4,6,180,21,32,3465,111,200,73,71
Chevrolet Impala LS 4dr,25000,22931,3.8,6,200,20,30,3476,111,200,73,72
Chevrolet Impala SS 4dr,27995,25672,3.8,6,240,18,28,3606,111,200,73,73
Chevrolet Malibu 4dr,18995,17434,2.2,4,145,24,34,3174,106,188,70,74
Chevrolet Malibu LS 4dr,20370,18639,3.5,6,200,22,30,3297,106,188,70,75
Chevrolet Malibu LT 4dr,23495,21551,3.5,6,200,23,32,3315,106,188,70,76
Chevrolet Malibu Maxx LS,22225,20394,3.5,6,200,22,30,3458,112,188,70,77
Chevrolet Monte Carlo LS 2dr,21825,20026,3.4,6,180,21,32,3340,111,198,73,78
Chevrolet Monte Carlo SS 2dr,24225,22222,3.8,6,200,18,28,3434,111,198,73,79
Chevrolet Suburban 1500 LT,42735,37422,5.3,8,295,14,18,4947,130,219,79,80
Chevrolet Tahoe LT,41465,36287,5.3,8,295,14,18,5050,116,197,79,81
Chevrolet Tracker,20255,19108,2.5,6,165,19,22,2866,98,163,67,82
Chevrolet TrailBlazer LT,30295,27479,4.2,6,275,16,21,4425,113,192,75,83
Chevrolet Venture LS,27020,24518,3.4,6,185,19,26,3699,112,187,72,84
Chrvsler PT Cruiser GT 4dr,25955,24172,2.4,4,220,21,27,3217,103,169,67,85
Chrysler 300M 4dr,29865,27797,3.5,6,250,18,27,3581,113,198,74,86
Chrysler 300M Special Edition 4dr,33295,30884,3.5,6,255,18,27,3650,113,198,74,87
Chrysler Concorde LX 4dr,24130,22452,2.7,6,200,21,29,3479,113,208,74,88
Chrysler Concorde LXi 4dr,26860,24909,3.5,6,232,19,27,3548,113,208,74,89
Chrysler Crossfire 2dr,34495,32033,3.2,6,215,17,25,3060,95,160,70,90
Chrysler Pacifica,31230,28725,3.5,6,250,17,23,4675,116,199,79,91
Chrysler PT Cruiser 4dr,17985,16919,2.4,4,150,22,29,3101,103,169,67,92
Chrysler PT Cruiser Limited 4dr,22000,20573,2.4,4,150,22,29,3105,103,169,67,93
Chrysler Sebring 4dr,19090,17805,2.4,4,150,22,30,3173,108,191,71,94
Chrysler Sebring convertible 2dr,25215,23451,2.4,4,150,22,30,3357,106,194,64,95
Chrysler Sebring Limited convertible 2dr,30950,28613,2.7,6,200,21,28,3448,106,194,69,96
Chrysler Sebring Touring 4dr,21840,20284,2.7,6,200,21,28,3222,108,191,71,97
Chrysler Town and Country Limited,38380,35063,3.8,6,215,18,25,4331,119,201,79,98
Chrysler Town and Country LX,27490,25371,3.3,6,180,19,26,4068,119,201,79,99
CMC Yukon 1500 SLE,35725,31361,4.8,8,285,16,19,5042,116,199,79,100
Dodge Caravan SE,21795,20508,2.4,4,150,20,26,3862,113,189,79,101
Dodge Durango SLT,32235,29472,4.7,8,230,15,21,4987,119,201,76,102
Dodge Grand Caravan SXT,32660,29812,3.8,6,215,18,25,4440,119,201,79,103
Dodge Intrepid ES 4dr,24885,23058,3.5,6,232,18,27,3487,113,204,75,104
Dodge Intrepid SE 4dr,22035,20502,2.7,6,200,21,29,3469,113,204,75,105
Dodge Neon SE 4dr,13670,12849,2,4,132,29,36,2581,105,174,67,106
Dodge Neon SXT 4dr,15040,14086,2,4,132,29,36,2626,105,174,67,107
Dodge Stratus SE 4dr,20220,18821,2.4,4,150,21,28,3175,108,191,71,108
Dodge Stratus SXT 4dr,18820,17512,2.4,4,150,21,28,3182,108,191,71,109
Mercedes-Benz CL500 2dr,94820,88324,5,8,302,16,24,4085,114,196,73,110
Ford Crown Victoria 4dr,24345,22856,4.6,8,224,17,25,4057,115,212,78,111
Ford Crown Victoria LX 4dr,27370,25105,4.6,8,224,17,25,4057,115,212,78,112
Ford Crown Victoria LX Sport 4dr,30315,27756,4.6,8,239,17,25,4057,115,212,78,113
Ford Escape XLS,22515,20907,3,6,201,18,23,3346,103,173,70,114
Ford Expedition 4.6 XLT,34560,30468,4.6,8,232,15,19,5000,119,206,79,115
Ford Explorer XLT V6,29670,26983,4,6,210,15,20,4463,114,190,72,116
Ford Focus LX 4dr,13730,12906,2,4,110,27,36,2606,103,168,67,117
Ford Focus SE 4dr,15460,14496,2,4,130,26,33,2606,103,168,67,118
Ford Focus SVT 2dr,19135,17878,2,4,170,21,28,2750,103,168,67,119
Ford Focus ZTW,17475,16375,2,4,130,26,33,2702,103,178,67,120
Ford Focus ZX3 2dr hatch,13270,12482,2,4,130,26,33,2612,103,168,67,121
Ford Focus ZX5 5dr,15580,14607,2,4,130,26,33,2691,103,168,67,122
Ford Freestar SE,26930,24498,3.9,6,193,17,23,4275,121,201,77,123
Ford Mustang 2dr (convertible),18345,16943,3.8,6,193,20,29,3290,101,183,73,124
Ford Mustang GT Premium convertible 2dr,29380,26875,4.6,8,260,17,25,3347,101,183,73,125
Ford Taurus LX 4dr,20320,18881,3,6,155,20,27,3306,109,198,73,126
Ford Taurus SE,22290,20457,3,6,155,19,26,3497,109,198,73,127
Ford Taurus SES Duratec 4dr,22735,20857,3,6,201,19,26,3313,109,198,73,128
Ford Thunderbird Deluxe convert w/hardtop 2dr,37530,34483,3.9,8,280,17,24,3780,107,186,72,129
GMC Envoy XUV SLE,31890,28922,4.2,6,275,15,19,4945,129,208,75,130
GMC Safari SLE,25640,23215,4.3,6,190,16,20,4309,111,190,78,131
GMC Yukon XL 2500 SLT,46265,40534,6,8,325,13,17,6133,130,219,79,132
Honda Accord EX 2dr,22260,20080,2.4,4,160,26,34,3047,105,188,71,133
Honda Accord EX V6 2dr,26960,24304,3,6,240,21,30,3294,105,188,71,134
Honda Accord LX 2dr,19860,17924,2.4,4,160,26,34,2994,105,188,71,135
Honda Accord LX V6 4dr,23760,21428,3,6,240,21,30,3349,108,190,72,136
Honda Civic DX 2dr,13270,12175,1.7,4,115,32,38,2432,103,175,67,137
Honda Civic EX 4dr,17750,16265,1.7,4,127,32,37,2601,103,175,68,138
Honda Civic HX 2dr,14170,12996,1.7,4,117,36,44,2500,103,175,67,139
Honda Civic Hybrid 4dr manual (gas/electric),20140,18451,1.4,4,93,46,51,2732,103,175,68,140
Honda Civic LX 4dr,15850,14531,1.7,4,115,32,38,2513,103,175,68,141
Honda Civic Si 2dr hatch,19490,17849,2,4,160,26,30,2782,101,166,67,142
Honda CR-V LX,19860,18419,2.4,4,160,21,25,3258,103,179,70,143
Honda Element LX,18690,17334,2.4,4,160,21,24,3468,101,167,72,144
Honda Insight 2dr (gas/electric),19110,17911,2,3,73,60,66,1850,95,155,67,145
Honda Odyssey EX,27450,24744,3.5,6,240,18,25,4365,118,201,76,146
Honda Odyssey LX,24950,22498,3.5,6,240,18,25,4310,118,201,76,147
Honda Pilot LX,27560,24843,3.5,6,240,17,22,4387,106,188,77,148
Honda S2000 convertible 2dr,33260,29965,2.2,4,240,20,25,2835,95,162,69,149
Hummer H2,49995,45815,6,8,316,10,12,6400,123,190,81,150
Hyundai Accent 2dr hatch,10539,10107,1.6,4,103,29,33,2255,96,167,66,151
Hyundai Accent GL 4dr,11839,11116,1.6,4,103,29,33,2290,96,167,66,152
Hyundai Accent GT 2dr hatch,11939,11209,1.6,4,103,29,33,2339,96,167,66,153
Hyundai Elantra GLS 4dr,13839,12781,2,4,138,26,34,2635,103,178,68,154
Hyundai Elantra GT 4dr,15389,14207,2,4,138,26,34,2635,103,178,68,155
Hyundai Elantra GT 4dr hatch,15389,14207,2,4,138,26,34,2698,103,178,68,156
Hyundai Santa Fe GLS,21589,20201,2.7,6,173,20,26,3549,103,177,73,157
Hyundai Sonata GLS 4dr,19339,17574,2.7,6,170,19,27,3217,106,187,72,158
Hyundai Sonata LX 4dr,20339,18380,2.7,6,170,19,27,3217,106,187,72,159
Hyundai Tiburon GT V6 2dr,18739,17101,2.7,6,172,19,26,3023,100,173,69,160
Hyundai XG350 4dr,24589,22055,3.5,6,194,17,26,3651,108,192,72,161
Hyundai XG350 L 4dr,26189,23486,3.5,6,194,17,26,3651,108,192,72,162
Infiniti FX35,34895,31756,3.5,6,280,16,22,4056,112,189,76,163
Infiniti FX45,36395,33121,4.5,8,315,15,19,4309,112,189,76,164
Infiniti G35 4dr,28495,26157,3.5,6,260,18,26,3336,112,187,69,165
Infiniti G35 4dr,32445,29783,3.5,6,260,18,26,3677,112,187,69,166
Infiniti G35 Sport Coupe 2dr,29795,27536,3.5,6,280,18,26,3416,112,182,72,167
Infiniti I35 4dr,31145,28320,3.5,6,255,19,26,3306,108,194,70,168
Infiniti M45 4dr,42845,38792,4.5,8,340,17,23,3851,110,197,70,169
Infiniti Q45 Luxury 4dr,52545,47575,4.5,8,340,17,23,3977,113,200,73,170
Isuzu Ascender S,31849,29977,4.2,6,275,15,20,4967,129,208,76,171
Isuzu Rodeo S,20449,19261,3.2,6,193,17,21,3836,106,178,70,172
Jaguar S-Type 3.0 4dr,43895,40004,3,6,235,18,26,3777,115,192,72,173
Jaguar S-Type 4.2 4dr,49995,45556,4.2,8,294,18,28,3874,115,192,72,174
Jaguar S-Type R 4dr,63120,57499,4.2,8,390,17,24,4046,115,192,72,175
Jaguar Vanden Plas 4dr,68995,62846,4.2,8,294,18,28,3803,119,200,73,176
Jaguar XJ8 4dr,59995,54656,4.2,8,294,18,28,3803,119,200,73,177
Mercedes-Benz SL500 convertible 2dr,90520,84325,5,8,302,16,23,4065,101,179,72,178
Acura NSX coupe 2dr manual S,89765,79978,3.2,6,290,17,24,3153,100,174,71,179
Jaguar XK8 coupe 2dr,69995,63756,4.2,8,294,18,26,3779,102,187,71,180
Jaguar XKR convertible 2dr,86995,79226,4.2,8,390,16,23,4042,102,187,71,181
Mercedes-Benz S500 4dr,86970,80939,5,8,302,16,24,4390,122,203,73,182
Jaguar X-Type 2.5 4dr,29995,27355,2.5,6,192,18,26,3428,107,184,70,183
Jaguar X-Type 3.0 4dr,33995,30995,3,6,227,18,25,3516,107,184,70,184
Jeep Grand Cherokee Laredo,27905,25686,4,6,195,16,21,3790,106,181,72,185
Jeep Liberty Sport,20130,18973,2.4,4,150,20,24,3826,104,174,72,186
Jeep Wrangler Sahara convertible 2dr,25520,23275,4,6,190,16,19,3575,93,150,67,187
Kia Optima LX 4dr,16040,14910,2.4,4,138,23,30,3281,106,186,72,188
Kia Optima LX V6 4dr,18435,16850,2.7,6,170,20,27,3279,106,186,72,189
Kia Rio 4dr auto,11155,10705,1.6,4,104,25,32,2458,95,167,66,190
Kia Rio 4dr manual,10280,9875,1.6,4,104,26,33,2403,95,167,66,191
Kia Rio Cinco,11905,11410,1.6,4,104,26,33,2447,95,167,66,192
Kia Sedona LX,20615,19400,3.5,6,195,16,22,4802,115,194,75,193
Kia Sorento LX,19635,18630,3.5,6,192,16,19,4112,107,180,73,194
Kia Spectra 4dr,12360,11630,1.8,4,124,24,32,2661,101,178,68,195
Kia Spectra GS 4dr hatch,13580,12830,1.8,4,124,24,32,2686,101,178,68,196
Kia Spectra GSX 4dr hatch,14630,13790,1.8,4,124,24,32,2697,101,178,68,197
Land Rover Discovery SE,39250,35777,4.6,8,217,12,16,4576,100,185,74,198
Land Rover Freelander SE,25995,23969,2.5,6,174,18,21,3577,101,175,71,199
Audi RS 6 4dr,84600,76417,4.2,8,450,15,22,4024,109,191,78,200
Lexus ES 330 4dr,32350,28755,3.3,6,225,20,29,3460,107,191,71,201
Lexus GS 300 4dr,41010,36196,3,6,220,18,25,3649,110,189,71,202
Lexus GS 430 4dr,48450,42232,4.3,8,300,18,23,3715,110,189,71,203
Lexus GX 470,45700,39838,4.7,8,235,15,19,4740,110,188,74,204
Lexus IS 300 4dr auto,32415,28611,3,6,215,18,24,3285,105,177,68,205
Lexus IS 300 4dr manual,31045,27404,3,6,215,18,25,3255,105,177,68,206
Lexus IS 300 SportCross,32455,28647,3,6,215,18,24,3410,105,177,68,207
Lexus LS 430 4dr,55750,48583,4.3,8,290,18,25,3990,115,197,72,208
Lexus LX 470,64800,56455,4.7,8,235,13,17,5590,112,193,76,209
Lexus RX 330,39195,34576,3.3,6,230,18,24,4065,107,186,73,210
Lexus SC 430 convertible 2dr,63200,55063,4.3,8,300,18,23,3840,103,178,72,211
Lincoln Aviator Ultimate,42915,39443,4.6,8,302,13,18,4834,114,193,76,212
Lincoln LS V6 Luxury 4dr,32495,29969,3,6,232,20,26,3681,115,194,73,213
Lincoln LS V6 Premium 4dr,36895,33929,3,6,232,20,26,3681,115,194,73,214
Lincoln LS V8 Sport 4dr,40095,36809,3.9,8,280,17,24,3768,115,194,73,215
Lincoln LS V8 Ultimate 4dr,43495,39869,3.9,8,280,17,24,3768,115,194,73,216
Lincoln Navigator Luxury,52775,46360,5.4,8,300,13,18,5969,119,206,80,217
Lincoln Town Car Signature 4dr,41815,38418,4.6,8,239,17,25,4369,118,215,78,218
Lincoln Town Car Ultimate 4dr,44925,41217,4.6,8,239,17,25,4369,118,215,78,219
Lincoln Town Car Ultimate L 4dr,50470,46208,4.6,8,239,17,25,4474,124,221,78,220
Mazda MPV ES,28750,26600,3,6,200,18,25,3812,112,188,72,221
Mazda MX-5 Miata convertible 2dr,22388,20701,1.8,4,142,23,28,2387,89,156,66,222
Mazda MX-5 Miata LS convertible 2dr,25193,23285,1.8,4,142,23,28,2387,89,156,66,223
Mazda Tribute DX 2.0,21087,19742,2,4,130,22,25,3091,103,173,72,224
Mazda6 i 4dr,19270,17817,2.3,4,160,24,32,3042,105,187,70,225
Mercedes-Benz C230 Sport 2dr,26060,24249,1.8,4,189,22,30,3250,107,178,68,226
Mercedes-Benz C240,33780,31466,2.6,6,168,19,25,3470,107,179,68,227
Mercedes-Benz C240 4dr,32280,30071,2.6,6,168,20,25,3360,107,178,68,228
Mercedes-Benz C240 4dr,33480,31187,2.6,6,168,19,25,3360,107,178,68,229
Mercedes-Benz C32 AMG 4dr,52120,48522,3.2,6,349,16,21,3540,107,178,68,230
Mercedes-Benz C320 4dr,37630,35046,3.2,6,215,20,26,3450,107,178,68,231
Mercedes-Benz C320 Sport 2dr,28370,26435,3.2,6,215,19,26,3430,107,178,68,232
Mercedes-Benz C320 Sport 4dr,35920,33456,3.2,6,215,19,26,3430,107,178,68,233
Porsche 911 Carrera 4S coupe 2dr (convert),84165,72206,3.6,6,315,17,24,3240,93,175,72,234
Jaguar XKR coupe 2dr,81995,74676,4.2,8,390,16,23,3865,102,187,71,235
Mercedes-Benz CLK320 coupe 2dr (convertible),45707,41966,3.2,6,215,20,26,3770,107,183,69,236
Mercedes-Benz CLK500 coupe 2dr (convertible),52800,49104,5,8,302,17,22,3585,107,183,69,237
Mercedes-Benz E320,50670,47174,3.2,6,221,19,27,3966,112,190,71,238
Mercedes-Benz E320 4dr,48170,44849,3.2,6,221,19,27,3635,112,190,71,239
Mercedes-Benz E500,60670,56474,5,8,302,16,24,4230,112,190,71,240
Mercedes-Benz E500 4dr,57270,53382,5,8,302,16,20,3815,112,190,71,241
Mercedes-Benz ML500,46470,43268,5,8,288,14,17,4874,111,183,72,242
Porsche 911 Carrera convertible 2dr (coupe),79165,69229,3.6,6,315,18,26,3135,93,175,70,243
Mercedes-Benz G500,76870,71540,5,8,292,13,14,5423,112,186,71,244
Porsche 911 Targa coupe 2dr,76765,67128,3.6,6,315,18,26,3119,93,175,70,245
Cadillac XLR convertible 2dr,76200,70546,4.6,8,320,17,25,3647,106,178,72,246
Mercedes-Benz SLK230 convertible 2dr,40320,37548,2.3,4,192,21,29,3055,95,158,68,247
Mercedes-Benz SLK32 AMG 2dr,56170,52289,3.2,6,349,17,22,3220,95,158,68,248
Mercury Grand Marquis GS 4dr,24695,23217,4.6,8,224,17,25,4052,115,212,78,249
Mercury Grand Marquis LS Premium 4dr,29595,27148,4.6,8,224,17,25,4052,115,212,78,250
Mercury Grand Marquis LS Ultimate 4dr,30895,28318,4.6,8,224,17,25,4052,115,212,78,251
Mercury Marauder 4dr,34495,31558,4.6,8,302,17,23,4195,115,212,78,252
Mercury Monterey Luxury,33995,30846,4.2,6,201,16,23,4340,121,202,77,253
Mercury Mountaineer,29995,27317,4,6,210,16,21,4374,114,190,72,254
Mercury Sable GS,22595,20748,3,6,155,19,26,3488,109,198,73,255
Mercury Sable GS 4dr,21595,19848,3,6,155,20,27,3308,109,200,73,256
Mercury Sable LS Premium 4dr,23895,21918,3,6,201,19,26,3315,109,200,73,257
Mini Cooper,16999,15437,1.6,4,115,28,37,2524,97,143,67,258
Mini Cooper S,19999,18137,1.6,4,163,25,34,2678,97,144,67,259
Mitsubishi Diamante LS 4dr,29282,27250,3.5,6,205,18,25,3549,107,194,70,260
Mitsubishi Eclipse GTS 2dr,25092,23456,3,6,210,21,28,3241,101,177,69,261
Mitsubishi Eclipse Spyder GT convertible 2dr,26992,25218,3,6,210,21,28,3296,101,177,69,262
Mitsubishi Endeavor XLS,30492,28330,3.8,6,215,17,21,4134,109,190,74,263
Mitsubishi Galant GTS 4dr,25700,23883,3.8,6,230,18,26,3649,108,191,72,264
Mitsubishi Lancer Evolution 4dr,29562,27466,2,4,271,18,26,3263,103,179,70,265
Mitsubishi Montero XLS,33112,30763,3.8,6,215,15,19,4718,110,190,75,266
Mitsubishi Outlander LS,18892,17569,2.4,4,160,21,27,3240,103,179,69,267
Nissan 350Z coupe 2dr,26910,25203,3.5,6,287,20,26,3188,104,169,72,268
Nissan 350Z Enthusiast convertible 2dr,34390,31845,3.5,6,287,20,26,3428,104,169,72,269
Nissan Altima S 4dr,19240,18030,2.5,4,175,21,26,3039,110,192,70,270
Nissan Altima SE 4dr,23290,21580,3.5,6,245,21,26,3197,110,192,70,271
Nissan Maxima SE 4dr,27490,25182,3.5,6,265,20,28,3473,111,194,72,272
Nissan Maxima SL 4dr,29440,26966,3.5,6,265,20,28,3476,111,194,72,273
Nissan Murano SL,28739,27300,3.5,6,245,20,25,3801,111,188,74,274
Nissan Pathfinder Armada SE,33840,30815,5.6,8,305,13,19,5013,123,207,79,275
Nissan Pathfinder SE,27339,25972,3.5,6,240,16,21,3871,106,183,72,276
Nissan Quest S,24780,22958,3.5,6,240,19,26,4012,124,204,78,277
Nissan Quest SE,32780,30019,3.5,6,240,18,25,4175,124,204,78,278
Nissan Sentra 1.8 4dr,12740,12205,1.8,4,126,28,35,2513,100,178,67,279
Nissan Sentra 1.8 S 4dr,14740,13747,1.8,4,126,28,35,2581,100,178,67,280
Nissan Sentra SE-R 4dr,17640,16444,2.5,4,165,23,28,2761,100,178,67,281
Nissan Xterra XE V6,20939,19512,3.3,6,180,17,20,3760,104,178,70,282
Oldsmobile Alero GLS 2dr,23675,21485,3.4,6,170,20,29,3085,107,187,70,283
Oldsmobile Alero GX 2dr,18825,17642,2.2,4,140,24,32,2946,107,187,70,284
Oldsmobile Silhouette GL,28790,26120,3.4,6,185,19,26,3948,120,201,72,285
Pontiac Aztekt,21595,19810,3.4,6,185,19,26,3779,108,182,74,286
Pontiac Grand Am GT 2dr,22450,20595,3.4,6,175,20,29,3118,107,186,70,287
Pontiac Grand Prix GT1 4dr,22395,20545,3.8,6,200,20,30,3477,111,198,74,288
Pontiac Grand Prix GT2 4dr,24295,22284,3.8,6,200,20,30,3484,111,198,74,289
Pontiac Montana,23845,21644,3.4,6,185,19,26,3803,112,187,72,290
Pontiac Montana EWB,31370,28454,3.4,6,185,18,24,4431,121,201,72,291
Pontiac Sunfire 1SA 2dr,15495,14375,2.2,4,140,24,33,2771,104,182,68,292
Pontiac Sunfire 1SC 2dr,17735,16369,2.2,4,140,24,33,2771,104,182,68,293
Pontiac Vibe,17045,15973,1.8,4,130,29,36,2701,102,172,70,294
Jaguar XJR 4dr,74995,68306,4.2,8,390,17,24,3948,119,200,73,295
Jaguar XK8 convertible 2dr,74995,68306,4.2,8,294,18,26,3980,102,187,71,296
Mercedes-Benz S430 4dr,74320,69168,4.3,8,275,18,26,4160,122,203,73,297
BMW 745Li 4dr,73195,66830,4.4,8,325,18,26,4464,123,204,75,298
Porsche Boxster convertible 2dr,43365,37886,2.7,6,228,20,29,2811,95,170,70,299
Porsche Boxster S convertible 2dr,52365,45766,3.2,6,258,18,26,2911,95,170,70,300
Porsche Cayenne S,56665,49865,4.5,8,340,14,18,4950,112,188,76,301
Saab 9-3 Aero 4dr,33360,31562,2,4,210,20,28,3175,105,183,69,302
Saab 9-3 Aero convertible 2dr,43175,40883,2,4,210,21,30,3700,105,182,69,303
Saab 9-3 Arc convertible 2dr,40670,38520,2,4,210,21,29,3480,105,182,69,304
Saab 9-3 Arc Sport 4dr,30860,29269,2,4,210,20,28,3175,105,183,69,305
Saab 9-5 Aero,40845,38376,2.3,4,250,19,29,3620,106,190,71,306
Saab 9-5 Aero 4dr,39465,37721,2.3,4,250,21,29,3470,106,190,71,307
Saab 9-5 Arc 4dr,35105,33011,2.3,4,220,21,29,3470,106,190,71,308
Saturn Ion1 4dr,10995,10319,2.2,4,140,26,35,2692,103,185,67,309
Saturn L300 2,23560,21779,2.2,4,140,24,34,3109,107,190,69,310
Saturn L300-2 4dr,21410,19801,3,6,182,20,28,3197,107,190,69,311
Saturn lon2 4dr,14300,13393,2.2,4,140,26,35,2692,103,185,67,312
Saturn lon2 quad coupe 2dr,14850,13904,2.2,4,140,26,35,2751,103,185,68,313
Saturn lon3 4dr,15825,14811,2.2,4,140,26,35,2692,103,185,67,314
Saturn lon3 quad coupe 2dr,16350,15299,2.2,4,140,26,35,2751,103,185,68,315
Saturn VUE,20585,19238,2.2,4,143,21,26,3381,107,181,72,316
